"","Player","Offense","Defense","Ovr","OffTO_multiplied","OReb_multiplied","OTS_multiplied","DefTO_multiplied","DReb_multiplied","DTS_multiplied","season1","season2"
"133","Al Horford",0.76,0.62,1.37,0.58,-2.23,1.77,-0.3,-0.17,0.95,2014,2016
"134","Patrick Beverley",1.12,0.23,1.35,0.11,0,1.13,0.87,-0.26,-0.33,2014,2016
"135","CJ Miles",0.52,0.81,1.32,0.24,-1.01,1.2,0.31,-0.25,0.82,2014,2016
"136","Richaun Holmes",1.42,-0.1,1.32,0.29,0.57,0.75,0.11,-0.25,-0.2,2014,2016
"137","Robert Sacre",-0.55,1.86,1.31,0.59,0.16,-1.24,0.25,0.56,0.87,2014,2016
"138","Andrew Bogut",-1.79,3.09,1.29,-1.08,-1.54,0.43,-0.59,1.66,1.92,2014,2016
"139","Jeff Withey",0.21,1.05,1.25,-0.45,-0.05,0.72,0.82,-0.22,0.24,2014,2016
"140","Norman Powell",1.53,-0.28,1.25,0.05,0.18,1.21,-0.41,0.35,-0.08,2014,2016
"141","Cartier Martin",0.4,0.83,1.22,0.13,0.09,-0.07,0.09,0.05,0.54,2014,2016
"142","Larry Nance Jr.",-0.03,1.24,1.21,-0.5,0.38,0.31,0.16,-0.17,1.18,2014,2016
"143","James Johnson",0.51,0.7,1.21,-0.35,0.47,0.54,0.98,-0.31,0.14,2014,2016
"144","Courtney Lee",1.72,-0.53,1.19,0.87,-1.68,2.41,0.29,-0.11,-0.45,2014,2016
"145","Mario Chalmers",-0.37,1.52,1.15,-1.14,0.39,0.59,2.23,-1.68,0.77,2014,2016
"146","Boris Diaw",0.55,0.6,1.14,-0.43,-0.01,1.05,-0.29,0.9,-0.13,2014,2016
"147","Gigi Datome",0.53,0.6,1.12,0.38,-0.04,0.08,-0.08,-0.03,0.88,2014,2016
"148","Tim Frazier",0.91,0.2,1.12,0.27,0.15,0.39,-0.4,0.67,-0.14,2014,2016
"149","Justin Anderson",-0.72,1.78,1.06,0.56,-0.53,-0.95,-0.3,0.77,1.35,2014,2016
"150","Joel Freeland",-0.54,1.59,1.05,-0.43,-0.24,0.16,0,0.1,1.24,2014,2016
"151","Montrezl Harrell",0.55,0.5,1.05,-0.13,0,0.87,0.12,0.21,-0.05,2014,2016
"152","Raul Neto",-0.3,1.29,0.99,-0.6,-0.57,0.99,0.26,0.03,0.83,2014,2016
"153","DeMar DeRozan",1.35,-0.37,0.97,0.78,-0.29,1.08,-0.47,-0.04,0.36,2014,2016
"154","Gerald Henderson",-0.32,1.26,0.93,1,-0.23,-0.5,-0.55,0.53,1.32,2014,2016
"155","Lou Williams",2.48,-1.58,0.9,1.16,0.27,0.9,-0.15,-0.6,-0.89,2014,2016
"156","Arron Afflalo",1.24,-0.36,0.88,0.62,-0.14,0.89,-2.21,0.52,1.16,2014,2016
"157","Chuck Hayes",0.56,0.31,0.87,0.56,-0.62,0.77,0.28,0.03,-0.07,2014,2016
"158","David Stockton",0.37,0.5,0.87,0.01,0.04,0.35,0.1,0.07,0.31,2014,2016
"159","Mario Hezonja",0.27,0.6,0.87,0.87,-1.07,0.38,-0.01,0,0.44,2014,2016
"160","Pablo Prigioni",0.06,0.81,0.87,0.03,-0.07,0,1.03,-0.48,-0.12,2014,2016
"161","Mirza Teletovic",1.51,-0.65,0.86,0.42,-0.2,0.95,-0.34,-0.11,-0.31,2014,2016
"162","Sasha Vujacic",0.45,0.38,0.82,0.42,0.34,-0.58,0.15,-0.04,-0.03,2014,2016
"163","Chris Bosh",-0.7,1.5,0.8,0.37,-1.34,0.34,-0.26,0.65,1.26,2014,2016
"164","Andre Miller",2.45,-1.65,0.8,-0.78,1.46,1.81,-0.73,-0.18,-0.61,2014,2016
"165","Langston Galloway",-0.35,1.14,0.79,1.09,-0.63,-1.01,0.03,0.11,0.73,2014,2016
"166","Steven Adams",-1.62,2.4,0.78,-0.44,0.63,-2.07,0.28,0.77,1.33,2014,2016
"167","Timofey Mozgov",-0.25,1.03,0.78,-1.15,0.13,0.54,-1.4,0.81,1.51,2014,2016
"168","Chris Johnson",-0.39,1.14,0.75,-0.19,0.16,-0.41,0.44,-0.09,0.76,2014,2016
"169","Jonathon Simmons",1.19,-0.44,0.75,-0.74,-0.42,2.24,0,-0.24,-0.44,2014,2016
"170","Trevor Ariza",0.47,0.28,0.74,-0.46,0.33,0.5,0.91,-0.54,0.02,2014,2016
"171","E'Twaun Moore",0.94,-0.21,0.73,-0.38,0.26,1.2,-0.21,-0.21,0.12,2014,2016
"172","Jason Terry",0.68,0.04,0.73,-0.25,0.37,0.55,0.42,-0.76,0.08,2014,2016
"173","Wesley Johnson",0.32,0.36,0.68,0.22,-0.61,0.83,1.09,-0.53,-0.31,2014,2016
"174","C.J. Wilcox",-0.04,0.7,0.66,-0.11,-0.49,0.72,0.15,-0.3,1.08,2014,2016
"175","KJ McDaniels",-0.98,1.63,0.65,-0.33,1.03,-1.87,1,-1.08,1.66,2014,2016
"176","Jeremy Evans",-0.44,1.07,0.64,-0.47,-0.22,0.1,-0.25,0.25,1.07,2014,2016
"177","Dante Exum",-0.36,0.98,0.63,-1.1,0.68,0.08,-0.11,0.04,1.27,2014,2016
"178","Bradley Beal",1.35,-0.74,0.61,-0.76,-0.23,2.23,0.03,0.27,-0.91,2014,2016
"179","Anthony Brown",-0.37,0.98,0.61,0.04,-0.05,-0.39,0.24,0.03,0.69,2014,2016
"180","Evan Fournier",1.25,-0.65,0.6,-0.19,-0.75,2.27,0.14,-0.51,-0.29,2014,2016
"181","C.J. Watson",0.96,-0.37,0.6,-0.12,-0.12,1.29,-0.11,-0.16,0.06,2014,2016
"182","Robin Lopez",-0.93,1.53,0.6,-0.62,-0.24,-0.25,-1.64,1.36,1.59,2014,2016
